frame,wave,theme,metric,group,estimate,n
provider,1,AFFORDABILITY,stress_score_mean,theme_absent,20.748258236758552,165
provider,1,AFFORDABILITY,stress_score_mean,theme_present,18.70622282257286,76
provider,2,AFFORDABILITY,stress_score_mean,theme_absent,20.537045665017295,161
provider,2,AFFORDABILITY,stress_score_mean,theme_present,19.84960952811211,67
provider,3,AFFORDABILITY,stress_score_mean,theme_absent,20.268675254011757,161
provider,3,AFFORDABILITY,stress_score_mean,theme_present,18.986296985628137,64
household,1,AFFORDABILITY,stress_score_mean,theme_absent,21.06600094147284,293
household,1,AFFORDABILITY,stress_score_mean,theme_present,20.01616143434761,176
household,2,AFFORDABILITY,stress_score_mean,theme_absent,20.99023818740131,274
household,2,AFFORDABILITY,stress_score_mean,theme_present,20.477758140684383,164
household,3,AFFORDABILITY,stress_score_mean,theme_absent,21.01444832869431,266
household,3,AFFORDABILITY,stress_score_mean,theme_present,19.204128894424787,133
provider,1,AFFORDABILITY,food_insecurity_rate,theme_absent,0.2,165
provider,1,AFFORDABILITY,food_insecurity_rate,theme_present,0.35526315789473684,76
provider,2,AFFORDABILITY,food_insecurity_rate,theme_absent,0.22981366459627328,161
provider,2,AFFORDABILITY,food_insecurity_rate,theme_present,0.47761194029850745,67
provider,3,AFFORDABILITY,food_insecurity_rate,theme_absent,0.22981366459627328,161
provider,3,AFFORDABILITY,food_insecurity_rate,theme_present,0.515625,64
household,1,AFFORDABILITY,food_insecurity_rate,theme_absent,0.18088737201365188,293
household,1,AFFORDABILITY,food_insecurity_rate,theme_present,0.5340909090909091,176
household,2,AFFORDABILITY,food_insecurity_rate,theme_absent,0.20802919708029197,274
household,2,AFFORDABILITY,food_insecurity_rate,theme_present,0.47560975609756095,164
household,3,AFFORDABILITY,food_insecurity_rate,theme_absent,0.19548872180451127,266
household,3,AFFORDABILITY,food_insecurity_rate,theme_present,0.518796992481203,133
provider,1,AFFORDABILITY,closure_risk_high_rate,theme_absent,0.34545454545454546,165
provider,1,AFFORDABILITY,closure_risk_high_rate,theme_present,0.3026315789473684,76
provider,2,AFFORDABILITY,closure_risk_high_rate,theme_absent,0.2608695652173913,161
provider,2,AFFORDABILITY,closure_risk_high_rate,theme_present,0.23880597014925373,67
provider,3,AFFORDABILITY,closure_risk_high_rate,theme_absent,0.2981366459627329,161
provider,3,AFFORDABILITY,closure_risk_high_rate,theme_present,0.328125,64
provider,1,CHILDCARE_ACCESS,stress_score_mean,theme_absent,20.136584439920053,219
provider,1,CHILDCARE_ACCESS,stress_score_mean,theme_present,19.782888692645752,22
provider,2,CHILDCARE_ACCESS,stress_score_mean,theme_absent,20.70504815032405,209
provider,2,CHILDCARE_ACCESS,stress_score_mean,theme_present,16.264901422819413,19
provider,3,CHILDCARE_ACCESS,stress_score_mean,theme_absent,19.99476283151063,200
provider,3,CHILDCARE_ACCESS,stress_score_mean,theme_present,19.177086266958664,25
household,1,CHILDCARE_ACCESS,stress_score_mean,theme_absent,20.67233706383391,327
household,1,CHILDCARE_ACCESS,stress_score_mean,theme_present,20.67132724241571,142
household,2,CHILDCARE_ACCESS,stress_score_mean,theme_absent,21.057211759515322,310
household,2,CHILDCARE_ACCESS,stress_score_mean,theme_present,20.171421507581627,128
household,3,CHILDCARE_ACCESS,stress_score_mean,theme_absent,20.930327509906995,287
household,3,CHILDCARE_ACCESS,stress_score_mean,theme_present,19.080253598641754,112
provider,1,CHILDCARE_ACCESS,food_insecurity_rate,theme_absent,0.2602739726027397,219
provider,1,CHILDCARE_ACCESS,food_insecurity_rate,theme_present,0.13636363636363635,22
provider,2,CHILDCARE_ACCESS,food_insecurity_rate,theme_absent,0.3014354066985646,209
provider,2,CHILDCARE_ACCESS,food_insecurity_rate,theme_present,0.3157894736842105,19
provider,3,CHILDCARE_ACCESS,food_insecurity_rate,theme_absent,0.32,200
provider,3,CHILDCARE_ACCESS,food_insecurity_rate,theme_present,0.24,25
household,1,CHILDCARE_ACCESS,food_insecurity_rate,theme_absent,0.3486238532110092,327
household,1,CHILDCARE_ACCESS,food_insecurity_rate,theme_present,0.2323943661971831,142
household,2,CHILDCARE_ACCESS,food_insecurity_rate,theme_absent,0.3258064516129032,310
household,2,CHILDCARE_ACCESS,food_insecurity_rate,theme_present,0.265625,128
household,3,CHILDCARE_ACCESS,food_insecurity_rate,theme_absent,0.313588850174216,287
household,3,CHILDCARE_ACCESS,food_insecurity_rate,theme_present,0.2767857142857143,112
provider,1,CHILDCARE_ACCESS,closure_risk_high_rate,theme_absent,0.3470319634703196,219
provider,1,CHILDCARE_ACCESS,closure_risk_high_rate,theme_present,0.18181818181818182,22
provider,2,CHILDCARE_ACCESS,closure_risk_high_rate,theme_absent,0.24880382775119617,209
provider,2,CHILDCARE_ACCESS,closure_risk_high_rate,theme_present,0.3157894736842105,19
provider,3,CHILDCARE_ACCESS,closure_risk_high_rate,theme_absent,0.31,200
provider,3,CHILDCARE_ACCESS,closure_risk_high_rate,theme_present,0.28,25
provider,1,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_absent,20.20410084485853,177
provider,1,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_present,19.82827646938653,64
provider,2,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_absent,20.612018099085248,155
provider,2,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_present,19.74692308346688,73
provider,3,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_absent,19.87765614816413,172
provider,3,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_present,19.989110669657773,53
household,1,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_absent,20.373410074651858,277
household,1,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_present,21.102854675094555,192
household,2,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_absent,20.24894120762621,232
household,2,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_present,21.41710309830543,206
household,3,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_absent,20.21155594949079,242
household,3,EMPLOYMENT_DISRUPTION,stress_score_mean,theme_present,20.71844495932746,157
provider,1,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_absent,0.2655367231638418,177
provider,1,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_present,0.203125,64
provider,2,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_absent,0.3096774193548387,155
provider,2,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_present,0.2876712328767123,73
provider,3,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_absent,0.32558139534883723,172
provider,3,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_present,0.2641509433962264,53
household,1,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_absent,0.3574007220216607,277
household,1,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_present,0.25,192
household,2,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_absent,0.3620689655172414,232
household,2,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_present,0.24757281553398058,206
household,3,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_absent,0.32644628099173556,242
household,3,EMPLOYMENT_DISRUPTION,food_insecurity_rate,theme_present,0.267515923566879,157
provider,1,EMPLOYMENT_DISRUPTION,closure_risk_high_rate,theme_absent,0.327683615819209,177
provider,1,EMPLOYMENT_DISRUPTION,closure_risk_high_rate,theme_present,0.34375,64
provider,2,EMPLOYMENT_DISRUPTION,closure_risk_high_rate,theme_absent,0.27741935483870966,155
provider,2,EMPLOYMENT_DISRUPTION,closure_risk_high_rate,theme_present,0.2054794520547945,73
provider,3,EMPLOYMENT_DISRUPTION,closure_risk_high_rate,theme_absent,0.31976744186046513,172
provider,3,EMPLOYMENT_DISRUPTION,closure_risk_high_rate,theme_present,0.2641509433962264,53
provider,1,FOOD_INSECURITY,stress_score_mean,theme_absent,20.38108611856149,201
provider,1,FOOD_INSECURITY,stress_score_mean,theme_present,18.713430843745957,40
provider,2,FOOD_INSECURITY,stress_score_mean,theme_absent,20.158542897718355,180
provider,2,FOOD_INSECURITY,stress_score_mean,theme_present,20.996884767958168,48
provider,3,FOOD_INSECURITY,stress_score_mean,theme_absent,20.051203789680994,184
provider,3,FOOD_INSECURITY,stress_score_mean,theme_present,19.242883553043672,41
household,1,FOOD_INSECURITY,stress_score_mean,theme_absent,20.71107765959611,331
household,1,FOOD_INSECURITY,stress_score_mean,theme_present,20.57837668819136,138
household,2,FOOD_INSECURITY,stress_score_mean,theme_absent,20.872639290955913,323
household,2,FOOD_INSECURITY,stress_score_mean,theme_present,20.58969658644729,115
household,3,FOOD_INSECURITY,stress_score_mean,theme_absent,20.9310676394871,302
household,3,FOOD_INSECURITY,stress_score_mean,theme_present,18.7918553738771,97
provider,1,FOOD_INSECURITY,food_insecurity_rate,theme_absent,0.1691542288557214,201
provider,1,FOOD_INSECURITY,food_insecurity_rate,theme_present,0.65,40
provider,2,FOOD_INSECURITY,food_insecurity_rate,theme_absent,0.2388888888888889,180
provider,2,FOOD_INSECURITY,food_insecurity_rate,theme_present,0.5416666666666666,48
provider,3,FOOD_INSECURITY,food_insecurity_rate,theme_absent,0.24456521739130435,184
provider,3,FOOD_INSECURITY,food_insecurity_rate,theme_present,0.6097560975609756,41
household,1,FOOD_INSECURITY,food_insecurity_rate,theme_absent,0.18429003021148035,331
household,1,FOOD_INSECURITY,food_insecurity_rate,theme_present,0.6231884057971014,138
household,2,FOOD_INSECURITY,food_insecurity_rate,theme_absent,0.21671826625386997,323
household,2,FOOD_INSECURITY,food_insecurity_rate,theme_present,0.5652173913043478,115
household,3,FOOD_INSECURITY,food_insecurity_rate,theme_absent,0.20860927152317882,302
household,3,FOOD_INSECURITY,food_insecurity_rate,theme_present,0.5979381443298969,97
provider,1,FOOD_INSECURITY,closure_risk_high_rate,theme_absent,0.3383084577114428,201
provider,1,FOOD_INSECURITY,closure_risk_high_rate,theme_present,0.3,40
provider,2,FOOD_INSECURITY,closure_risk_high_rate,theme_absent,0.2777777777777778,180
provider,2,FOOD_INSECURITY,closure_risk_high_rate,theme_present,0.16666666666666666,48
provider,3,FOOD_INSECURITY,closure_risk_high_rate,theme_absent,0.30434782608695654,184
provider,3,FOOD_INSECURITY,closure_risk_high_rate,theme_present,0.3170731707317073,41
provider,1,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_absent,20.127778013023157,193
provider,1,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_present,20.00988306390061,48
provider,2,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_absent,20.1130214881997,199
provider,2,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_present,21.858514286191557,29
provider,3,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_absent,20.003681475440363,183
provider,3,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_present,19.469190785012067,42
household,1,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_absent,20.672031318329896,469
household,2,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_absent,20.798350681324653,438
household,3,PROVIDER_STAFF_SHORTAGE,stress_score_mean,theme_absent,20.411008517271135,399
provider,1,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_absent,0.25906735751295334,193
provider,1,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_present,0.20833333333333334,48
provider,2,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_absent,0.32160804020100503,199
provider,2,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_present,0.1724137931034483,29
provider,3,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_absent,0.3114754098360656,183
provider,3,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_present,0.30952380952380953,42
household,1,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_absent,0.31343283582089554,469
household,2,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_absent,0.3082191780821918,438
household,3,PROVIDER_STAFF_SHORTAGE,food_insecurity_rate,theme_absent,0.3032581453634085,399
provider,1,PROVIDER_STAFF_SHORTAGE,closure_risk_high_rate,theme_absent,0.18134715025906736,193
provider,1,PROVIDER_STAFF_SHORTAGE,closure_risk_high_rate,theme_present,0.9375,48
provider,2,PROVIDER_STAFF_SHORTAGE,closure_risk_high_rate,theme_absent,0.1507537688442211,199
provider,2,PROVIDER_STAFF_SHORTAGE,closure_risk_high_rate,theme_present,0.9655172413793104,29
provider,3,PROVIDER_STAFF_SHORTAGE,closure_risk_high_rate,theme_absent,0.16393442622950818,183
provider,3,PROVIDER_STAFF_SHORTAGE,closure_risk_high_rate,theme_present,0.9285714285714286,42
provider,1,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_absent,18.684036315914092,180
provider,1,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_present,24.295229618297732,61
provider,2,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_absent,19.182302926840837,155
provider,2,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_present,22.782619682068027,73
provider,3,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_absent,18.908190820772354,172
provider,3,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_present,23.13530003402355,53
household,1,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_absent,19.855720326767965,284
household,1,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_present,21.925179002673612,185
household,2,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_absent,20.580270421963647,242
household,2,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_present,21.067613042372418,196
household,3,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_absent,19.629637311285318,229
household,3,SCHEDULING_CONSTRAINTS,stress_score_mean,theme_present,21.463561494746152,170
provider,1,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_absent,0.25,180
provider,1,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_present,0.2459016393442623,61
provider,2,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_absent,0.27741935483870966,155
provider,2,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_present,0.3561643835616438,73
provider,3,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_absent,0.32558139534883723,172
provider,3,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_present,0.2641509433962264,53
household,1,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_absent,0.31690140845070425,284
household,1,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_present,0.3081081081081081,185
household,2,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_absent,0.35537190082644626,242
household,2,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_present,0.25,196
household,3,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_absent,0.31004366812227074,229
household,3,SCHEDULING_CONSTRAINTS,food_insecurity_rate,theme_present,0.29411764705882354,170
provider,1,SCHEDULING_CONSTRAINTS,closure_risk_high_rate,theme_absent,0.2722222222222222,180
provider,1,SCHEDULING_CONSTRAINTS,closure_risk_high_rate,theme_present,0.5081967213114754,61
provider,2,SCHEDULING_CONSTRAINTS,closure_risk_high_rate,theme_absent,0.24516129032258063,155
provider,2,SCHEDULING_CONSTRAINTS,closure_risk_high_rate,theme_present,0.273972602739726,73
provider,3,SCHEDULING_CONSTRAINTS,closure_risk_high_rate,theme_absent,0.27906976744186046,172
provider,3,SCHEDULING_CONSTRAINTS,closure_risk_high_rate,theme_present,0.39622641509433965,53
provider,1,STRESS_BURNOUT,stress_score_mean,theme_absent,17.946531482146106,190
provider,1,STRESS_BURNOUT,stress_score_mean,theme_present,28.143030626920357,51
provider,2,STRESS_BURNOUT,stress_score_mean,theme_absent,18.92803213706584,186
provider,2,STRESS_BURNOUT,stress_score_mean,theme_present,26.56605268945356,42
provider,3,STRESS_BURNOUT,stress_score_mean,theme_absent,18.110656520238987,180
provider,3,STRESS_BURNOUT,stress_score_mean,theme_present,27.076923318512794,45
household,1,STRESS_BURNOUT,stress_score_mean,theme_absent,18.37351110281117,339
household,1,STRESS_BURNOUT,stress_score_mean,theme_present,26.665864803413324,130
household,2,STRESS_BURNOUT,stress_score_mean,theme_absent,19.039800219147953,315
household,2,STRESS_BURNOUT,stress_score_mean,theme_present,25.301955523484494,123
household,3,STRESS_BURNOUT,stress_score_mean,theme_absent,18.222656044766346,286
household,3,STRESS_BURNOUT,stress_score_mean,theme_present,25.949670527327513,113
provider,1,STRESS_BURNOUT,food_insecurity_rate,theme_absent,0.25263157894736843,190
provider,1,STRESS_BURNOUT,food_insecurity_rate,theme_present,0.23529411764705882,51
provider,2,STRESS_BURNOUT,food_insecurity_rate,theme_absent,0.3010752688172043,186
provider,2,STRESS_BURNOUT,food_insecurity_rate,theme_present,0.30952380952380953,42
provider,3,STRESS_BURNOUT,food_insecurity_rate,theme_absent,0.3277777777777778,180
provider,3,STRESS_BURNOUT,food_insecurity_rate,theme_present,0.24444444444444444,45
household,1,STRESS_BURNOUT,food_insecurity_rate,theme_absent,0.336283185840708,339
household,1,STRESS_BURNOUT,food_insecurity_rate,theme_present,0.25384615384615383,130
household,2,STRESS_BURNOUT,food_insecurity_rate,theme_absent,0.31746031746031744,315
household,2,STRESS_BURNOUT,food_insecurity_rate,theme_present,0.2845528455284553,123
household,3,STRESS_BURNOUT,food_insecurity_rate,theme_absent,0.32517482517482516,286
household,3,STRESS_BURNOUT,food_insecurity_rate,theme_present,0.24778761061946902,113
provider,1,STRESS_BURNOUT,closure_risk_high_rate,theme_absent,0.3263157894736842,190
provider,1,STRESS_BURNOUT,closure_risk_high_rate,theme_present,0.35294117647058826,51
provider,2,STRESS_BURNOUT,closure_risk_high_rate,theme_absent,0.24731182795698925,186
provider,2,STRESS_BURNOUT,closure_risk_high_rate,theme_present,0.2857142857142857,42
provider,3,STRESS_BURNOUT,closure_risk_high_rate,theme_absent,0.3,180
provider,3,STRESS_BURNOUT,closure_risk_high_rate,theme_present,0.3333333333333333,45
